Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
Tai Sin Electric,500,0.4,11.23,185.196,379.052,8.37,5.88,Industrial Goods,87,27.01
3Cnergy,502,0.003,51.26,9.201,0.158,0.98,,Real Estate,48,7.48
HS Optimus,504,0.002,-5.24,10.761,16.752,,,Cyclical Consumer Products,78,9.97
AsiaMedic,505,0.011,-0.68,12.316,17.629,,,Healthcare Services,77,-3.82
Fuji Offset,508,0.325,4.52,16.222,3.817,12.87,0.92,Industrial Goods,75,-7.29
Hiap Seng,510,0.02,,6.003,23.414,,,Industrial & Commercial Services,62,11.76
Second Chance,528,0.245,5.01,226.976,43.115,15.09,4.08,Retailers,59,17.85
DISA,532,0.003,-36.9,30.32,24.266,,,Software & IT Services,44,25.08
ABR,533,0.43,2.33,86.428,83.485,38.5,2.33,Food & Beverages,50,3.24
Tung Lok Rest,540,0.118,22.93,32.379,70.979,12.39,,Cyclical Consumer Services,66,23.52
Abundance Intl,541,0.028,1.17,35.887,898.102,70.42,1.79,Industrial & Commercial Services,67,20.19
Noel Gifts Intl,543,0.205,8.91,21.008,20.652,7.26,1.46,Retailers,69,9.36
CSE Global,544,0.39,4.94,241.234,496.392,21.42,7,Software & IT Services,80,3.06
Medtecs Intl,546,0.137,-2.99,75.269,119.89,,6.09,Healthcare Services,60,-72
King Wan,554,0.034,-7.29,23.744,82.73,,,Industrial & Commercial Services,73,10.32
UMS,558,1.14,20.98,764.411,326.168,12.59,4.39,Technology Equipment,72,58.61
Spindex Ind,564,0.955,9.41,110.174,191.687,7.67,3.66,Industrial Goods,72,-10.66
SHS,566,0.145,-1.13,98.326,70.938,,,Industrial & Commercial Services,70,61.83
Colex,567,0.225,-7.05,29.818,42.049,,2,Industrial & Commercial Services,60,0.28
Vicplas Intl,569,0.195,11.79,99.75,130.808,11.46,2.31,Healthcare Services,67,14.8
Abundante,570,0.14,16.33,14.601,8.361,4.89,7.14,Mineral Resources,64,15.37
Challenger,573,0.52,9.6,208.915,278.439,14.81,5.38,Retailers,69,-3.36
ASTI,575,0.014,-6.29,9.548,60.521,,,Technology Equipment,68,8.84
KS Energy,578,0.013,,16.627,39.982,,,Energy - Fossil Fuels,49,20.89
Oceanus,579,0.013,2.54,332.375,173.573,260,,Food & Beverages,60,27.53
Santak,580,0.055,-6.71,5.917,11.677,,,Industrial Goods,78,-1.25
Sunrise Shares,581,0.037,5.09,7.745,1.056,26.43,,Real Estate,58,-24.72
Progen,583,0.051,-10.59,19.916,3.684,,,Industrial & Commercial Services,61,3.19
OEL,584,0.009,-76.73,8.404,0.462,,,Healthcare Services,70,-17.79
Asian Micro,585,0.005,-7.72,8.033,4.773,,,Utilities,53,24.57
Global Dragon,586,0.105,4.31,71.607,65.959,20,9.52,Real Estate,58,-26.68
CapAllianz,594,0.002,-3.13,17.105,4.925,,,Energy - Fossil Fuels,49,54
GKE,595,0.086,2.09,68.344,104.52,35.25,2.33,Transportation,83,-8.25
Pavillon,596,0.027,-103.82,38.744,12.602,,,Cyclical Consumer Services,44,28.66
Hyflux,600,0.21,-247.15,174.141,150.18,,,Utilities,38,-62.41
5E Resources,NLC,0.26,,38.343,15.889,20.16,,Industrial & Commercial Services,,
8Telecom,AZG,0.069,,7.876,0.802,,,Technology Equipment,57,-26.76
9R,1Y1,0.054,-434.2,54.35,3.469,,,Industrial Goods,50,-12.36
A-Smart,BQC,0.29,-7.15,43.228,6.144,,,Industrial & Commercial Services,55,4.33
A-Sonic Aero,BTJ,0.74,16.85,65.795,609.217,6.17,1.08,Transportation,47,74.82
Abterra,L5I,0.045,98.84,12.811,5.49,,,Energy - Fossil Fuels,-6,-89.06
Accrelist Ltd,QZG,0.049,-65.69,14.883,171.241,,,Technology Equipment,47,-18.91
Acesian Partners,5FW,0.066,48.21,32.901,26.311,8.19,,Industrial & Commercial Services,68,160.97
Acma,AYV,0.027,-20.29,1.145,46.178,,,Industrial Goods,61,-30.08
AcroMeta,43F,0.033,23.4,9.145,63.261,3.99,,Industrial & Commercial Services,69,117.36
Addvalue Tech,A31,0.012,-106.61,38.904,8.351,,,Technology Equipment,44,76.33
Advanced,BLZ,0.081,-3.65,8.385,41.852,,,Energy - Fossil Fuels,93,1.3
Advanced Systems,5TY,0.001,,22.324,27.971,25,,Technology Equipment,56,58.47
Advancer Global,43Q,0.101,-6.82,25.489,61.707,,,Industrial & Commercial Services,64,5.08
Adventus,5EF,0.007,-0.88,17.161,0,,,Real Estate,66,
Aedge Group,XVG,0.255,,27.03,,,3.92,Industrial & Commercial Services,47,
AEM SGD,AWX,3.32,40.52,1035.32,913.694,7.01,3.52,Technology Equipment,78,108.84
AEM USD,XWA,2.78,,,,,,,,
AF Global,L38,0.087,-1.51,91.841,9.289,,,Cyclical Consumer Services,65,103.8
AGV,1A4,0.01,,9.98,,,,Holding Companies,18,
AIMS Property,BVP,1.18,3.26,57.43,5.614,14.2,,Real Estate,,-60
Alita Resources,40F,0.078,-43.51,115.031,66.687,,,Mineral Resources,48,
Alliance HC,MIJ,0.173,15.04,35.965,54.757,11.54,2.6,Healthcare Services,67,17.97
AlphaDX,VVL,0.112,-1317.81,27.211,9.043,,,Software & IT Services,,
Alpina Holdings,ZXY,0.175,,32.259,51.89,3.47,3.25,Industrial & Commercial Services,,
Alset,40V,0.033,-50.02,115.26,26.182,,,Real Estate,79,4.54
Amara,A34,0.345,1.21,199.043,71.519,41.42,1.45,Cyclical Consumer Services,63,10.01
Amcorp Global,S9B,0.12,-9.35,53.625,77.473,,,Real Estate,74,252.95
AMOS Group,49B,0.14,-15.72,29.166,98.507,,,Industrial Goods,54,-1.76
Amplefield Ltd,AOF,0.026,-8.58,23.416,12.176,,,Real Estate,82,290.13
AMTD IDEA OV,HKB,12.93,13.36,319.076,117.667,0.65,,Banking & Investment Services,,21.76
AnAn Intl,Y35,0.024,24.27,101.596,3838.775,4.24,,Energy - Fossil Fuels,32,75.43
Anchun Intl,BTX,0.28,5.3,14.14,32.109,4.73,,Industrial Goods,55,104.08
AnnAik,A52,0.072,7.46,21.172,122.771,4.38,9.72,Mineral Resources,74,113.27
Annica,5AL,0.001,-139.12,16.975,6.674,,,Energy - Fossil Fuels,47,
Aoxin Q & M,1D4,0.108,-1.57,55.219,27.968,,,Healthcare Services,82,-14.42
AP Oil,5AU,0.157,3.53,25.831,59.093,12.41,6.37,Chemicals,71,4.1
AP Strategic,5RA,0.002,-43.15,35.657,1.207,,,Cyclical Consumer Services,51,0.75
APAC Realty,CLN,0.62,21.3,220.223,719.253,6.29,12.1,Real Estate,81,24.87
Arion Ent,YYB,0.006,-61.8,5.604,0.931,,,Cyclical Consumer Services,66,5.08
Ascent Bridge,AWG,0.56,-17.43,50.446,9.567,,,Mineral Resources,46,-30.62
Asia Enterprises,A55,0.159,3.88,54.365,73.522,14.45,5.03,Mineral Resources,61,107.62
Asia Vets,5RE,0.043,-3.72,6.284,2.522,,,Healthcare Services,61,-36.36
AsiaPhos,5WV,0.015,-6.35,15.473,2.304,,,Chemicals,50,89.79
Asiatic,5CR,0.003,-29.68,5.225,39.665,,,Industrial Goods,67,1.45
ASL Marine,A04,0.049,-42.15,31.024,252.134,,,Industrial Goods,60,21.36
Aspen,1F3,0.039,-14.3,42.249,56.895,,,Real Estate,76,-34.55
Aspial Corp,A30,0.079,-0.07,171.555,469.522,,9.49,Cyclical Consumer Products,57,-5.48
Aspial Lifestyle,5UF,0.156,10.58,215.11,255.288,10.49,8.01,Retailers,72,-6.02
Astaka,42S,0.088,3.23,161.56,11.662,,,Real Estate,47,22.28
Atlantic Nav,5UL,0.105,10.68,54.969,78.769,5.37,,Energy - Fossil Fuels,57,32.38
Audience,1AZ,0.27,,45.414,,,4.67,Cyclical Consumer Services,52,
AusGroup,5GJ,0.009,-137.22,27.659,225.243,,,Energy - Fossil Fuels,52,25.63
Avarga,U09,0.23,14,218.533,2371.441,4.72,3.65,Cyclical Consumer Products,81,-1.85
Avi-Tech Hldg,1R6,0.265,,45.327,30.849,14.43,5.19,Technology Equipment,,5.15
AVJennings A$,A05,0.34,3.2,166.555,222.814,12.73,4.32,Real Estate,,-28.38
Axington,42U,0.19,-3.5,35.386,0,,,Industrial & Commercial Services,84,
Axington R,IXOR,0,,,,,,,,
Axington R1,QPQR,0,,,,,,,,
Azeus,BBW,7.9,33.65,237,40.295,27.4,3.13,Software & IT Services,59,22.98
Aztech Gbl,8AZ,0.825,,638.406,,,3.64,Industrial Goods,65,
B&M Hldg,CJN,2.96,58.58,24.45,10.001,,0.51,Banking & Investment Services,59,217.59
Baker Technology,BTP,0.65,5.29,131.871,86.25,12.16,0.77,Holding Companies,75,39.44
Ban Leong,B26,0.335,19.17,39.028,217.163,5.05,11.19,Technology Equipment,71,6.28
Banyan Tree,B58,0.355,-2.42,308.116,283.385,,,Cyclical Consumer Services,82,103.97
