Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
Tai Sin Electric,500,0.4,11.23,185.196,379.052,8.37,5.88,Industrial Goods,87,27.01
3Cnergy,502,0.002,51.26,9.201,0.158,0.98,,Real Estate,48,7.48
HS Optimus,504,0.003,-5.24,21.522,16.752,,,Cyclical Consumer Products,78,9.97
AsiaMedic,505,0.011,-0.68,12.316,17.629,,,Healthcare Services,77,-3.82
Fuji Offset,508,0.325,4.52,16.222,3.817,12.87,0.92,Industrial Goods,75,-7.29
Hiap Seng,510,0.02,,6.016,23.414,,,Industrial & Commercial Services,62,11.76
Second Chance,528,0.245,5.01,231.63,43.115,15.39,4,Retailers,59,17.85
DISA,532,0.003,-36.9,30.32,24.266,,,Software & IT Services,44,25.08
ABR,533,0.43,2.33,86.428,83.485,38.5,2.33,Food & Beverages,50,3.24
Tung Lok Rest,540,0.118,22.93,32.379,70.979,12.39,,Cyclical Consumer Services,66,23.52
Abundance Intl,541,0.028,1.17,34.595,899.796,67.76,1.85,Industrial & Commercial Services,67,20.19
Noel Gifts Intl,543,0.205,8.91,21.008,20.652,7.26,1.46,Retailers,69,9.36
CSE Global,544,0.38,4.94,235.048,496.392,20.87,7.18,Software & IT Services,80,3.06
Medtecs Intl,546,0.139,-2.99,74.697,120.117,,6.13,Healthcare Services,60,-72
King Wan,554,0.034,-7.29,23.744,82.73,,,Industrial & Commercial Services,73,10.32
UMS,558,1.12,20.98,757.706,326.168,12.48,4.42,Technology Equipment,72,58.61
Spindex Ind,564,0.955,9.41,110.174,191.687,7.67,3.66,Industrial Goods,72,-10.66
SHS,566,0.145,-1.13,98.326,70.938,,,Industrial & Commercial Services,70,61.83
Colex,567,0.225,-7.05,29.818,42.049,,2,Industrial & Commercial Services,60,0.28
Vicplas Intl,569,0.193,11.79,98.727,130.808,11.34,2.33,Healthcare Services,67,14.8
Abundante,570,0.14,16.33,14.601,8.361,4.89,7.14,Mineral Resources,64,15.37
Challenger,573,0.52,9.6,204.898,278.439,14.52,5.49,Retailers,69,-3.36
ASTI,575,0.014,-6.29,9.548,60.521,,,Technology Equipment,68,8.84
KS Energy,578,0.013,,16.663,39.982,,,Energy - Fossil Fuels,49,20.89
Oceanus,579,0.013,2.54,357.942,173.573,280,,Food & Beverages,60,27.53
Santak,580,0.055,-6.71,5.917,11.677,,,Industrial Goods,78,-1.25
Sunrise Shares,581,0.038,5.09,7.955,1.056,27.14,,Real Estate,58,-24.72
